


   t (Gyr) =  0.001
-----------------------------------------------------------------------------------------
    M/Ms	Teff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
  0.4500  3598.   -1.57   4.83  29.71  0.0000  0.0000       6.878       6.280       6.041
  0.5000  3681.   -1.44   4.78  33.04  0.0000  0.0000       6.571       5.946       5.719
  0.5700  3883.   -1.23   4.73  37.54  0.0000  0.0000       6.116       5.438       5.245
  0.6000  3962.   -1.16   4.72  39.15  0.0000  0.0000       5.960       5.270       5.089
  0.6200  4007.   -1.12   4.71  40.27  0.0000  0.0000       5.865       5.172       4.997
  0.7000  4228.   -0.92   4.65  45.51  0.0000  0.0020       5.460       4.804       4.640
  0.7500  4423.   -0.78   4.62  48.70  0.0000  0.0280       5.173       4.545       4.403
  0.8000  4603.   -0.65   4.59  52.24  0.0000  0.1400       5.173       4.545       4.403
  0.8500  4772.   -0.53   4.55  56.14  0.0000  0.3290       5.173       4.545       4.403
  0.9000  4952.   -0.40   4.52  59.97  0.0000  0.5280       5.173       4.545       4.403
  0.9500  5114.   -0.29   4.49  63.83  0.0000  0.6850       4.156       3.715       3.619
  1.0000  5271.   -0.18   4.46  68.05  0.0000  0.7890       3.937       3.531       3.442
  1.0500  5426.   -0.08   4.42  72.76  0.0000  0.8560       3.716       3.345       3.261
  1.1000  5580.    0.03   4.38  77.58  0.0000  0.9020       3.508       3.165       3.087
  1.1500  5727.    0.12   4.35  82.27  0.0000  0.9330       3.319       3.001       2.928
  1.2000  5888.    0.22   4.33  86.76  0.0000  0.9550       3.139       2.847       2.780
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.150
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   212.   -7.66   3.04   7.74  1.0000  1.0000      25.520      24.553      37.217
  0.0010   283.   -7.13   3.32   8.01  1.0000  1.0000      22.680      22.499      31.024
  0.0020   376.   -6.61   3.60   8.18  1.0000  1.0000      20.528      20.286      25.213
  0.0030   448.   -6.30   3.76   8.29  1.0000  1.0000      19.330      18.990      22.270
  0.0040   504.   -6.09   3.88   8.32  1.0000  1.0000      18.520      18.148      20.397
  0.0050   566.   -5.89   3.98   8.30  1.0000  1.0000      17.790      17.482      19.135
  0.0060   625.   -5.72   4.07   8.28  1.0000  1.0000      17.208      16.938      18.058
  0.0070   683.   -5.57   4.14   8.24  1.0000  1.0000      16.722      16.472      17.155
  0.0080   739.   -5.44   4.20   8.20  1.0000  1.0000      16.310      16.097      16.451
  0.0090   785.   -5.34   4.26   8.14  1.0000  1.0000      15.996      15.820      15.945
  0.0100   850.   -5.20   4.30   8.14  0.9850  1.0000      15.579      15.429      15.322
  0.0120  1195.   -4.56   4.33   8.58  0.4385  1.0000      13.802      13.564      13.167
  0.0150  1194.   -4.61   4.48   8.16  0.0000  1.0000      13.888      13.695      13.306
  0.0200  1382.   -4.37   4.62   8.02  0.0000  1.0000      13.273      13.021      12.751
  0.0300  1798.   -3.90   4.78   8.13  0.0000  1.0000      12.104      11.727      11.447
  0.0400  2114.   -3.59   4.87   8.43  0.0000  1.0000      11.373      10.956      10.615
  0.0500  2368.   -3.35   4.93   8.87  0.0000  0.9950      10.866      10.411      10.068
  0.0600  2547.   -3.17   4.96   9.33  0.0000  0.8060      10.514      10.040       9.710
  0.0700  2690.   -3.03   4.98   9.89  0.0000  0.0525      10.212       9.726       9.406
  0.0720  2713.   -3.00   4.98  10.00  0.0000  0.0093      10.161       9.673       9.355
  0.0750  2746.   -2.97   4.98  10.19  0.0000  0.0002      10.085       9.594       9.279
  0.0800  2792.   -2.92   4.99  10.42  0.0000  0.0000       9.983       9.487       9.177
  0.0900  2871.   -2.82   4.99  11.00  0.0000  0.0000       9.780       9.279       8.975
  0.1000  2934.   -2.74   4.99  11.60  0.0000  0.0000       9.596       9.091       8.792
  0.1100  3016.   -2.68   5.02  11.80  0.0000  0.0000       9.471       8.961       8.668
  0.1300  3101.   -2.55   5.02  12.90  0.0000  0.0000       9.199       8.681       8.391
  0.1500  3183.   -2.44   5.01  13.92  0.0000  0.0000       8.948       8.423       8.142
  0.1750  3248.   -2.33   5.01  15.14  0.0000  0.0000       8.696       8.168       7.893
  0.2000  3298.   -2.23   4.99  16.46  0.0000  0.0000       8.461       7.928       7.659
  0.2500  3374.   -2.07   4.97  18.86  0.0000  0.0000       8.085       7.541       7.279
  0.3000  3432.   -1.95   4.95  21.09  0.0000  0.0000       7.785       7.230       6.973
  0.3500  3481.   -1.83   4.93  23.38  0.0000  0.0000       7.512       6.947       6.695
  0.4000  3538.   -1.72   4.90  25.93  0.0000  0.0000       7.232       6.653       6.406
  0.4500  3610.   -1.59   4.86  28.82  0.0000  0.0000       6.934       6.337       6.098
  0.5000  3693.   -1.45   4.80  32.27  0.0000  0.0000       6.612       5.988       5.761
  0.5700  3847.   -1.27   4.75  36.70  0.0000  0.0000       6.197       5.530       5.330
  0.6000  3912.   -1.20   4.73  38.58  0.0000  0.0000       6.032       5.350       5.161
  0.6200  3968.   -1.14   4.71  39.96  0.0000  0.0000       5.910       5.219       5.040
  0.7000  4222.   -0.92   4.65  45.66  0.0000  0.0020       5.458       4.800       4.636
  0.7500  4419.   -0.78   4.62  48.86  0.0000  0.0276       5.169       4.539       4.397
  0.8000  4603.   -0.65   4.59  52.35  0.0000  0.1400       5.169       4.539       4.397
  0.8500  4774.   -0.52   4.55  56.24  0.0000  0.3280       5.169       4.539       4.397
  0.9000  4953.   -0.40   4.52  60.06  0.0000  0.5280       5.169       4.539       4.397
  0.9500  5114.   -0.29   4.49  63.95  0.0000  0.6850       4.152       3.710       3.615
  1.0000  5277.   -0.18   4.46  68.15  0.0000  0.7890       3.931       3.526       3.438
  1.0500  5435.   -0.07   4.42  72.90  0.0000  0.8560       3.708       3.338       3.255
  1.1000  5582.    0.03   4.38  77.63  0.0000  0.9020       3.505       3.163       3.085
  1.1500  5733.    0.13   4.35  82.40  0.0000  0.9330       3.312       2.996       2.924
  1.2000  5893.    0.22   4.32  86.89  0.0000  0.9550       3.134       2.843       2.776
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.200
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   195.   -7.81   3.06   7.62  1.0000  1.0000      26.660      25.382      39.351
  0.0010   263.   -7.27   3.33   7.88  1.0000  1.0000      23.507      23.227      32.939
  0.0020   346.   -6.77   3.61   8.09  1.0000  1.0000      21.028      20.933      27.064
  0.0030   416.   -6.43   3.77   8.19  1.0000  1.0000      19.792      19.499      23.492
  0.0040   474.   -6.20   3.89   8.23  1.0000  1.0000      18.925      18.593      21.482
  0.0050   525.   -6.03   3.99   8.20  1.0000  1.0000      18.272      17.941      20.061
  0.0060   580.   -5.86   4.08   8.17  1.0000  1.0000      17.676      17.395      18.944
  0.0070   625.   -5.74   4.15   8.10  1.0000  1.0000      17.264      17.013      18.173
  0.0080   679.   -5.60   4.21   8.06  1.0000  1.0000      16.812      16.578      17.332
  0.0090   733.   -5.47   4.27   8.02  1.0000  1.0000      16.407      16.205      16.633
  0.0100   783.   -5.36   4.32   7.99  0.9800  1.0000      16.052      15.888      16.061
  0.0120  1083.   -4.76   4.36   8.32  0.3945  1.0000      14.321      14.144      13.712
  0.0150  1070.   -4.82   4.50   7.92  0.0000  1.0000      14.464      14.336      13.928
  0.0200  1266.   -4.55   4.64   7.78  0.0000  1.0000      13.714      13.537      13.203
  0.0300  1667.   -4.07   4.82   7.80  0.0000  1.0000      12.501      12.170      11.943
  0.0400  2004.   -3.73   4.92   7.99  0.0000  1.0000      11.699      11.300      10.988
  0.0500  2259.   -3.48   4.98   8.30  0.0000  0.9890      11.169      10.727      10.389
  0.0600  2464.   -3.29   5.02   8.68  0.0000  0.5610      10.773      10.308       9.978
  0.0700  2619.   -3.14   5.05   9.14  0.0000  0.0000      10.465       9.984       9.665
  0.0720  2645.   -3.12   5.05   9.22  0.0000  0.0000      10.416       9.932       9.615
  0.0750  2682.   -3.08   5.06   9.36  0.0000  0.0000      10.339       9.852       9.537
  0.0800  2737.   -3.03   5.06   9.59  0.0000  0.0000      10.223       9.731       9.420
  0.0900  2829.   -2.92   5.07  10.10  0.0000  0.0000      10.008       9.508       9.205
  0.1000  2903.   -2.83   5.07  10.64  0.0000  0.0000       9.814       9.308       9.010
  0.1100  2990.   -2.76   5.09  10.93  0.0000  0.0000       9.660       9.149       8.858
  0.1300  3082.   -2.63   5.08  11.95  0.0000  0.0000       9.380       8.861       8.574
  0.1500  3167.   -2.51   5.07  12.97  0.0000  0.0000       9.116       8.592       8.311
  0.1750  3241.   -2.38   5.05  14.33  0.0000  0.0000       8.822       8.292       8.018
  0.2000  3294.   -2.28   5.04  15.58  0.0000  0.0000       8.584       8.051       7.782
  0.2500  3374.   -2.11   5.01  18.07  0.0000  0.0000       8.179       7.636       7.374
  0.3000  3436.   -1.97   4.98  20.43  0.0000  0.0000       7.851       7.298       7.041
  0.3500  3483.   -1.86   4.96  22.69  0.0000  0.0000       7.576       7.013       6.760
  0.4000  3538.   -1.74   4.92  25.30  0.0000  0.0000       7.285       6.709       6.462
  0.4500  3607.   -1.60   4.87  28.34  0.0000  0.0000       6.973       6.378       6.138
  0.5000  3676.   -1.47   4.82  31.69  0.0000  0.0000       6.668       6.050       5.820
  0.5700  3819.   -1.28   4.75  36.55  0.0000  0.0000       6.231       5.570       5.365
  0.6000  3897.   -1.20   4.72  38.73  0.0000  0.0000       6.036       5.355       5.165
  0.6200  3958.   -1.14   4.71  40.12  0.0000  0.0000       5.909       5.218       5.038
  0.7000  4215.   -0.92   4.65  45.82  0.0000  0.0018       5.455       4.797       4.631
  0.7500  4419.   -0.78   4.62  48.96  0.0000  0.0273       5.165       4.535       4.393
  0.8000  4604.   -0.65   4.59  52.50  0.0000  0.1390       5.165       4.535       4.393
  0.8500  4774.   -0.52   4.55  56.36  0.0000  0.3280       5.165       4.535       4.393
  0.9000  4951.   -0.40   4.52  60.17  0.0000  0.5280       5.165       4.535       4.393
  0.9500  5120.   -0.29   4.49  64.10  0.0000  0.6850       4.144       3.704       3.609
  1.0000  5286.   -0.18   4.45  68.33  0.0000  0.7890       3.921       3.518       3.430
  1.0500  5439.   -0.07   4.42  73.03  0.0000  0.8560       3.702       3.333       3.250
  1.1000  5586.    0.03   4.38  77.80  0.0000  0.9020       3.499       3.157       3.080
  1.1500  5737.    0.13   4.35  82.56  0.0000  0.9330       3.307       2.991       2.919
  1.2000  5897.    0.22   4.32  87.07  0.0000  0.9550       3.128       2.838       2.771
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.300
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   170.   -8.07   3.08   7.45  1.0000  1.0000      30.128      27.693      44.329
  0.0010   236.   -7.47   3.35   7.74  1.0000  1.0000      24.580      24.180      35.395
  0.0020   301.   -7.02   3.62   7.95  1.0000  1.0000      21.784      21.912      29.814
  0.0030   373.   -6.64   3.79   8.05  1.0000  1.0000      20.528      20.409      25.769
  0.0040   422.   -6.42   3.91   8.07  1.0000  1.0000      19.657      19.416      23.549
  0.0050   474.   -6.22   4.01   8.06  1.0000  1.0000      18.931      18.637      21.685
  0.0060   519.   -6.07   4.09   8.02  1.0000  1.0000      18.407      18.096      20.344
  0.0070   566.   -5.93   4.17   7.97  1.0000  1.0000      17.908      17.639      19.397
  0.0080   608.   -5.80   4.23   7.91  1.0000  1.0000      17.466      17.230      18.559
  0.0090   653.   -5.69   4.29   7.85  1.0000  1.0000      17.105      16.886      17.888
  0.0100   703.   -5.56   4.34   7.82  0.9800  1.0000      16.682      16.479      17.107
  0.0120   915.   -5.09   4.40   8.00  0.3580  1.0000      15.221      15.097      14.836
  0.0150   924.   -5.11   4.53   7.67  0.0000  1.0000      15.253      15.159      14.941
  0.0200  1100.   -4.82   4.67   7.51  0.0000  1.0000      14.425      14.331      13.952
  0.0300  1489.   -4.31   4.86   7.41  0.0000  1.0000      13.081      12.853      12.643
  0.0400  1823.   -3.95   4.98   7.46  0.0000  1.0000      12.221      11.870      11.639
  0.0500  2099.   -3.68   5.05   7.66  0.0000  0.9750      11.601      11.194      10.891
  0.0600  2321.   -3.48   5.10   7.91  0.0000  0.1600      11.176      10.729      10.409
  0.0700  2503.   -3.31   5.14   8.24  0.0000  0.0000      10.830      10.361      10.045
  0.0720  2536.   -3.28   5.14   8.32  0.0000  0.0000      10.767      10.294       9.980
  0.0750  2581.   -3.24   5.14   8.44  0.0000  0.0000      10.678      10.200       9.888
  0.0800  2647.   -3.17   5.15   8.64  0.0000  0.0000      10.548      10.063       9.754
  0.0900  2762.   -3.05   5.16   9.12  0.0000  0.0000      10.300       9.804       9.501
  0.1000  2850.   -2.95   5.16   9.59  0.0000  0.0000      10.092       9.588       9.292
  0.1100  2952.   -2.86   5.16  10.00  0.0000  0.0000       9.892       9.381       9.091
  0.1300  3064.   -2.70   5.14  11.18  0.0000  0.0000       9.541       9.022       8.736
  0.1500  3154.   -2.56   5.12  12.32  0.0000  0.0000       9.240       8.716       8.434
  0.1750  3235.   -2.42   5.09  13.74  0.0000  0.0000       8.919       8.389       8.115
  0.2000  3291.   -2.31   5.07  15.11  0.0000  0.0000       8.654       8.121       7.852
  0.2500  3373.   -2.13   5.02  17.72  0.0000  0.0000       8.224       7.681       7.419
  0.3000  3437.   -1.99   4.99  20.14  0.0000  0.0000       7.881       7.329       7.072
  0.3500  3480.   -1.86   4.96  22.60  0.0000  0.0000       7.588       7.025       6.773
  0.4000  3533.   -1.74   4.92  25.22  0.0000  0.0000       7.298       6.723       6.476
  0.4500  3594.   -1.61   4.87  28.28  0.0000  0.0000       6.991       6.399       6.157
  0.5000  3661.   -1.48   4.82  31.70  0.0000  0.0000       6.681       6.067       5.835
  0.5700  3805.   -1.29   4.75  36.74  0.0000  0.0000       6.231       5.571       5.365
  0.6000  3890.   -1.20   4.72  38.85  0.0000  0.0000       6.035       5.355       5.164
  0.6200  3952.   -1.14   4.71  40.24  0.0000  0.0000       5.908       5.217       5.036
  0.7000  4214.   -0.92   4.64  45.95  0.0000  0.0017       5.450       4.791       4.626
  0.7500  4420.   -0.77   4.62  49.09  0.0000  0.0267       5.158       4.529       4.387
  0.8000  4603.   -0.64   4.58  52.63  0.0000  0.1390       5.158       4.529       4.387
  0.8500  4774.   -0.52   4.55  56.50  0.0000  0.3280       5.158       4.529       4.387
  0.9000  4951.   -0.40   4.52  60.33  0.0000  0.5280       5.158       4.529       4.387
  0.9500  5126.   -0.28   4.48  64.33  0.0000  0.6850       4.133       3.694       3.600
  1.0000  5292.   -0.17   4.45  68.56  0.0000  0.7890       3.911       3.509       3.422
  1.0500  5443.   -0.07   4.41  73.27  0.0000  0.8560       3.694       3.325       3.242
  1.1000  5590.    0.04   4.38  78.06  0.0000  0.9020       3.490       3.149       3.072
  1.1500  5741.    0.13   4.35  82.90  0.0000  0.9330       3.296       2.981       2.909
  1.2000  5901.    0.23   4.32  87.50  0.0000  0.9550       3.116       2.826       2.759
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.400
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   153.   -8.26   3.09   7.35  1.0000  1.0000      32.411      29.210      47.596
  0.0010   217.   -7.63   3.36   7.64  1.0000  1.0000      25.408      24.919      37.268
  0.0020   285.   -7.13   3.63   7.87  1.0000  1.0000      22.502      22.551      31.304
  0.0030   344.   -6.79   3.80   7.96  1.0000  1.0000      21.067      21.108      27.518
  0.0040   391.   -6.57   3.92   7.98  1.0000  1.0000      20.132      19.981      24.933
  0.0050   434.   -6.39   4.02   7.96  1.0000  1.0000      19.473      19.258      23.266
  0.0060   479.   -6.22   4.10   7.92  1.0000  1.0000      18.922      18.650      21.619
  0.0070   518.   -6.09   4.18   7.86  1.0000  1.0000      18.479      18.186      20.492
  0.0080   559.   -5.96   4.24   7.80  1.0000  1.0000      18.038      17.783      19.654
  0.0090   598.   -5.85   4.30   7.75  1.0000  1.0000      17.621      17.399      18.857
  0.0100   647.   -5.72   4.35   7.71  0.9800  1.0000      17.200      16.994      18.072
  0.0120   819.   -5.30   4.42   7.81  0.3435  1.0000      15.849      15.718      15.780
  0.0150   844.   -5.28   4.55   7.52  0.0000  1.0000      15.772      15.675      15.715
  0.0200   999.   -5.01   4.69   7.35  0.0000  1.0000      14.934      14.882      14.587
  0.0300  1363.   -4.49   4.89   7.18  0.0000  1.0000      13.532      13.380      13.115
  0.0400  1683.   -4.12   5.02   7.16  0.0000  1.0000      12.628      12.337      12.158
  0.0500  1979.   -3.83   5.10   7.26  0.0000  0.9640      11.950      11.572      11.314
  0.0600  2208.   -3.62   5.16   7.45  0.0000  0.0331      11.481      11.053      10.753
  0.0700  2403.   -3.44   5.20   7.69  0.0000  0.0000      11.111      10.658      10.349
  0.0720  2441.   -3.41   5.20   7.77  0.0000  0.0000      11.039      10.580      10.271
  0.0750  2493.   -3.36   5.20   7.88  0.0000  0.0000      10.936      10.469      10.161
  0.0800  2578.   -3.28   5.21   8.10  0.0000  0.0000      10.770      10.292       9.985
  0.0900  2713.   -3.14   5.21   8.58  0.0000  0.0000      10.485       9.992       9.690
  0.1000  2822.   -3.01   5.20   9.15  0.0000  0.0000      10.224       9.721       9.425
  0.1100  2934.   -2.90   5.20   9.65  0.0000  0.0000       9.988       9.477       9.187
  0.1300  3057.   -2.72   5.16  10.92  0.0000  0.0000       9.597       9.079       8.793
  0.1500  3150.   -2.58   5.13  12.15  0.0000  0.0000       9.275       8.751       8.469
  0.1750  3234.   -2.43   5.10  13.62  0.0000  0.0000       8.939       8.409       8.135
  0.2000  3290.   -2.32   5.07  15.03  0.0000  0.0000       8.666       8.133       7.864
  0.2500  3373.   -2.13   5.03  17.67  0.0000  0.0000       8.230       7.687       7.425
  0.3000  3437.   -1.99   4.99  20.12  0.0000  0.0000       7.883       7.331       7.074
  0.3500  3479.   -1.86   4.95  22.71  0.0000  0.0000       7.578       7.016       6.763
  0.4000  3529.   -1.74   4.92  25.38  0.0000  0.0000       7.288       6.713       6.465
  0.4500  3589.   -1.61   4.87  28.41  0.0000  0.0000       6.985       6.393       6.152
  0.5000  3654.   -1.48   4.82  31.84  0.0000  0.0000       6.677       6.064       5.832
  0.5700  3801.   -1.29   4.75  36.82  0.0000  0.0000       6.229       5.570       5.363
  0.6000  3886.   -1.20   4.72  38.93  0.0000  0.0000       6.034       5.354       5.162
  0.6200  3949.   -1.14   4.70  40.32  0.0000  0.0000       5.906       5.215       5.034
  0.7000  4213.   -0.91   4.64  46.06  0.0000  0.0016       5.445       4.786       4.621
  0.7500  4419.   -0.77   4.61  49.19  0.0000  0.0262       5.155       4.525       4.383
  0.8000  4602.   -0.64   4.58  52.73  0.0000  0.1360       5.155       4.525       4.383
  0.8500  4773.   -0.52   4.55  56.62  0.0000  0.3270       5.155       4.525       4.383
  0.9000  4951.   -0.40   4.51  60.46  0.0000  0.5280       5.155       4.525       4.383
  0.9500  5127.   -0.28   4.48  64.46  0.0000  0.6850       4.128       3.689       3.595
  1.0000  5293.   -0.17   4.45  68.74  0.0000  0.7890       3.904       3.503       3.416
  1.0500  5444.   -0.06   4.41  73.50  0.0000  0.8560       3.686       3.318       3.235
  1.1000  5591.    0.04   4.38  78.38  0.0000  0.9020       3.480       3.140       3.063
  1.1500  5744.    0.14   4.34  83.21  0.0000  0.9330       3.287       2.973       2.901
  1.2000  5905.    0.23   4.31  87.87  0.0000  0.9550       3.105       2.816       2.749
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.500
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   141.   -8.41   3.10   7.28  1.0000  1.0000      34.109      30.334      50.024
  0.0010   203.   -7.75   3.36   7.57  1.0000  1.0000      25.986      25.439      38.566
  0.0020   272.   -7.22   3.64   7.81  1.0000  1.0000      23.128      23.095      32.565
  0.0030   322.   -6.91   3.81   7.89  1.0000  1.0000      21.473      21.636      28.822
  0.0040   370.   -6.67   3.93   7.91  1.0000  1.0000      20.552      20.528      26.194
  0.0050   409.   -6.50   4.03   7.89  1.0000  1.0000      19.811      19.647      24.253
  0.0060   449.   -6.34   4.11   7.84  1.0000  1.0000      19.327      19.127      22.807
  0.0070   488.   -6.20   4.18   7.79  1.0000  1.0000      18.856      18.586      21.379
  0.0080   525.   -6.08   4.25   7.73  1.0000  1.0000      18.446      18.175      20.438
  0.0090   564.   -5.96   4.31   7.68  1.0000  1.0000      18.029      17.791      19.640
  0.0100   599.   -5.86   4.36   7.63  0.9800  1.0000      17.650      17.441      18.914
  0.0120   759.   -5.45   4.43   7.68  0.3375  1.0000      16.311      16.158      16.525
  0.0150   791.   -5.40   4.56   7.43  0.0000  1.0000      16.143      16.037      16.293
  0.0200   936.   -5.13   4.70   7.25  0.0000  1.0000      15.307      15.258      15.101
  0.0300  1264.   -4.64   4.91   7.04  0.0000  1.0000      13.907      13.807      13.491
  0.0400  1583.   -4.26   5.04   6.96  0.0000  1.0000      12.935      12.703      12.532
  0.0500  1875.   -3.96   5.13   7.01  0.0000  0.9570      12.239      11.899      11.687
  0.0600  2116.   -3.73   5.19   7.13  0.0000  0.0073      11.726      11.322      11.050
  0.0700  2329.   -3.53   5.23   7.37  0.0000  0.0000      11.314      10.869      10.569
  0.0720  2369.   -3.50   5.24   7.43  0.0000  0.0000      11.235      10.786      10.485
  0.0750  2426.   -3.44   5.24   7.53  0.0000  0.0000      11.124      10.668      10.365
  0.0800  2518.   -3.36   5.25   7.74  0.0000  0.0000      10.941      10.471      10.167
  0.0900  2680.   -3.19   5.24   8.28  0.0000  0.0000      10.599      10.110       9.809
  0.1000  2804.   -3.05   5.22   8.91  0.0000  0.0000      10.300       9.798       9.502
  0.1100  2926.   -2.92   5.21   9.50  0.0000  0.0000      10.030       9.519       9.230
  0.1300  3055.   -2.73   5.17  10.84  0.0000  0.0000       9.615       9.097       8.811
  0.1500  3149.   -2.58   5.13  12.10  0.0000  0.0000       9.283       8.759       8.477
  0.1750  3234.   -2.43   5.10  13.60  0.0000  0.0000       8.943       8.414       8.139
  0.2000  3290.   -2.32   5.07  15.02  0.0000  0.0000       8.668       8.135       7.866
  0.2500  3373.   -2.13   5.03  17.67  0.0000  0.0000       8.230       7.688       7.425
  0.3000  3437.   -1.99   4.99  20.12  0.0000  0.0000       7.883       7.331       7.074
  0.3500  3478.   -1.86   4.95  22.81  0.0000  0.0000       7.569       7.006       6.754
  0.4000  3526.   -1.74   4.91  25.50  0.0000  0.0000       7.280       6.705       6.457
  0.4500  3587.   -1.61   4.87  28.50  0.0000  0.0000       6.980       6.389       6.147
  0.5000  3653.   -1.48   4.81  31.89  0.0000  0.0000       6.675       6.062       5.829
  0.5700  3799.   -1.29   4.75  36.88  0.0000  0.0000       6.227       5.569       5.361
  0.6000  3885.   -1.20   4.72  39.00  0.0000  0.0000       6.031       5.351       5.159
  0.6200  3948.   -1.14   4.70  40.39  0.0000  0.0000       5.903       5.212       5.030
  0.7000  4211.   -0.91   4.64  46.15  0.0000  0.0015       5.442       4.783       4.617
  0.7500  4418.   -0.77   4.61  49.26  0.0000  0.0257       5.152       4.522       4.380
  0.8000  4600.   -0.64   4.58  52.82  0.0000  0.1350       5.152       4.522       4.380
  0.8500  4773.   -0.52   4.54  56.72  0.0000  0.3270       5.152       4.522       4.380
  0.9000  4951.   -0.39   4.51  60.58  0.0000  0.5280       5.152       4.522       4.380
  0.9500  5130.   -0.28   4.48  64.60  0.0000  0.6850       4.122       3.684       3.589
  1.0000  5294.   -0.17   4.45  68.91  0.0000  0.7890       3.898       3.497       3.410
  1.0500  5446.   -0.06   4.41  73.68  0.0000  0.8560       3.680       3.312       3.229
  1.1000  5595.    0.04   4.37  78.70  0.0000  0.9020       3.470       3.130       3.053
  1.1500  5745.    0.14   4.34  83.54  0.0000  0.9330       3.278       2.964       2.892
  1.2000  5909.    0.24   4.31  88.35  0.0000  0.9550       3.092       2.803       2.737
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.600
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   133.   -8.52   3.10   7.24  1.0000  1.0000      35.234      31.079      51.633
  0.0010   191.   -7.86   3.37   7.52  1.0000  1.0000      27.359      26.363      40.589
  0.0020   260.   -7.30   3.65   7.75  1.0000  1.0000      23.663      23.559      33.639
  0.0030   304.   -7.02   3.81   7.84  1.0000  1.0000      21.813      22.077      29.906
  0.0040   352.   -6.76   3.93   7.86  1.0000  1.0000      20.903      20.984      27.238
  0.0050   389.   -6.59   4.03   7.83  1.0000  1.0000      20.168      20.093      25.270
  0.0060   429.   -6.42   4.12   7.79  1.0000  1.0000      19.597      19.445      23.600
  0.0070   463.   -6.30   4.19   7.73  1.0000  1.0000      19.193      18.993      22.375
  0.0080   499.   -6.18   4.26   7.68  1.0000  1.0000      18.769      18.489      21.077
  0.0090   537.   -6.05   4.31   7.62  1.0000  1.0000      18.353      18.102      20.264
  0.0100   572.   -5.95   4.36   7.57  0.9800  1.0000      17.978      17.758      19.546
  0.0120   714.   -5.56   4.44   7.59  0.3345  1.0000      16.674      16.499      17.120
  0.0150   754.   -5.50   4.57   7.36  0.0000  1.0000      16.445      16.326      16.792
  0.0200   891.   -5.23   4.71   7.18  0.0000  1.0000      15.579      15.531      15.486
  0.0300  1182.   -4.77   4.92   6.93  0.0000  1.0000      14.244      14.183      13.847
  0.0400  1498.   -4.37   5.06   6.81  0.0000  1.0000      13.209      13.037      12.852
  0.0500  1783.   -4.07   5.15   6.81  0.0000  0.9520      12.492      12.194      12.017
  0.0600  2038.   -3.82   5.22   6.91  0.0000  0.0020      11.941      11.558      11.315
  0.0700  2261.   -3.62   5.26   7.11  0.0000  0.0000      11.496      11.062      10.776
  0.0720  2309.   -3.57   5.27   7.19  0.0000  0.0000      11.396      10.954      10.661
  0.0750  2375.   -3.51   5.27   7.31  0.0000  0.0000      11.261      10.812      10.516
  0.0800  2473.   -3.41   5.28   7.50  0.0000  0.0000      11.067      10.604      10.304
  0.0900  2659.   -3.22   5.26   8.11  0.0000  0.0000      10.668      10.181       9.881
  0.1000  2794.   -3.07   5.24   8.78  0.0000  0.0000      10.343       9.842       9.546
  0.1100  2922.   -2.93   5.21   9.44  0.0000  0.0000      10.048       9.537       9.248
  0.1300  3054.   -2.73   5.17  10.81  0.0000  0.0000       9.621       9.103       8.817
  0.1500  3149.   -2.58   5.13  12.09  0.0000  0.0000       9.285       8.761       8.479
  0.1750  3234.   -2.43   5.10  13.59  0.0000  0.0000       8.944       8.414       8.140
  0.2000  3290.   -2.32   5.07  15.02  0.0000  0.0000       8.668       8.135       7.866
  0.2500  3373.   -2.13   5.03  17.67  0.0000  0.0000       8.230       7.688       7.425
  0.3000  3437.   -1.99   4.99  20.12  0.0000  0.0000       7.883       7.330       7.073
  0.3500  3477.   -1.85   4.95  22.90  0.0000  0.0000       7.561       6.998       6.746
  0.4000  3525.   -1.73   4.91  25.59  0.0000  0.0000       7.273       6.698       6.450
  0.4500  3585.   -1.61   4.86  28.57  0.0000  0.0000       6.977       6.385       6.143
  0.5000  3651.   -1.48   4.81  31.94  0.0000  0.0000       6.673       6.060       5.827
